rank;artistId;artistsName;trackTitle;track_id;;;;;;;;;;;;;;
244;1577301;Ambassador;YXMI;107488088;;;;;;;;;;;;;;
245;3292790\v3047931;Мари Краймбрери, M.Hustler;Успей вернуться;65528117;;;;;;;;;;;;;;
246;5007577;Zivert;смех и грех;107903003;;;;;;;;;;;;;;
247;4944386;Mary Gu;Не влюбляйся;73734162;;;;;;;;;;;;;;
248;1630184;Vance Joy;Riptide;14422944;;;;;;;;;;;;;;
249;6467364;NЮ;18;105500255;;;;;;;;;;;;;;
250;28960;Fly Project;Toca Toca;17195285;;;;;;;;;;;;;;
251;8910407\v10600250\v11048202;Kilian K, MEYSTA, Nito-Onna;Sweet Dreams;94071475;;;;;;;;;;;;;;
252;5736663;Nebezao;Грустная песня;80210409;;;;;;;;;;;;;;
253;161243;Сплин;Выхода нет;39089632;;;;;;;;;;;;;;
254;5736663\v2392189;Nebezao, Андрей Леницкий;Как ты там?;57392782;;;;;;;;;;;;;;
255;6236091;Slavik Pogosov;Монро;106985401;;;;;;;;;;;;;;
256;10873670\v11308902;Lofi Fruits Music, Chill Fruits Music;7 Years;83511815;;;;;;;;;;;;;;
257;831666\v5471586\v2724363;Yves V, Shanguy, Axel Cooper;Dernière Danse;79012362;;;;;;;;;;;;;;
258;675068;Imagine Dragons;Bones;103218647;;;;;;;;;;;;;;
259;4313150\v6227191;Dante, NOLA;Холодно;94961187;;;;;;;;;;;;;;
260;15954357;Яна Лавринович;Ух Ты!;100621683;;;;;;;;;;;;;;
261;5879646\v9349639;Sunlike Brothers, Micano;Say It Right;84263423;;;;;;;;;;;;;;
262;3204498;SHAMI;Моя Вера;65338723;;;;;;;;;;;;;;
263;5140155;Huts;Astronomia (Coffin Dance);65644191;;;;;;;;;;;;;;
264;816919\v7364881;Minelli, KEAN DYSSO;Rampampam;83698212;;;;;;;;;;;;;;
265;383840;Colin;Swim;72885727;;;;;;;;;;;;;;
266;41050;Танцы Минус;Половинка;27317897;;;;;;;;;;;;;;
267;3067645;La+ch;:p;68169942;;;;;;;;;;;;;;
268;666984;Artik & Asti;Под гипнозом;51452575;;;;;;;;;;;;;;
269;1636897\v11872827;MOT, LYRIQ;Не Бруклин;83198477;;;;;;;;;;;;;;
270;5781113;MORGENSHTERN;Я УБИЛ МАРКА;108721702;;;;;;;;;;;;;;
271;10170574\v7306068\v327116;Besomage, Lunis, BRAN;California Dreaming;72492543;;;;;;;;;;;;;;
272;722002;Icona Pop;Clap Snap;24511589;;;;;;;;;;;;;;
273;41191;Баста;Ты была права;84670890;;;;;;;;;;;;;;
274;157570;Selena Gomez & The Scene;Love You Like A Love Song;2772886;;;;;;;;;;;;;;
275;9047732;BROHM;In the End;78231669;;;;;;;;;;;;;;
276;7847834;Tones And I;Dance Monkey;56204557;;;;;;;;;;;;;;
277;8424125;Йович;Девочка Lambo;107814234;;;;;;;;;;;;;;
278;666984;Artik & Asti;Чувства;62352386;;;;;;;;;;;;;;
279;41110\v3292790;Дима Билан, Мари Краймбрери;Ты не моя пара;91670743;;;;;;;;;;;;;;
280;12424722;fenekot;Let Me Down Slowly (Slowed + Reverb);98023188;;;;;;;;;;;;;;
281;453589;Валентин Стрыкало;Наше лето;32656003;;;;;;;;;;;;;;
282;170642;INNA;UP;93914110;;;;;;;;;;;;;;
283;3100829;Клоун Плюх;Хохмачки;43855816;;;;;;;;;;;;;;
284;9241205;Jarred Dymore;Oh No I Hope I Don't Fall;77121083;;;;;;;;;;;;;;
285;95391;4 Strings;Interlude;44241919;;;;;;;;;;;;;;
286;1431923;Жуки;Батарейка;9047114;;;;;;;;;;;;;;
287;3245333;Alice Merton;No Roots;36367574;;;;;;;;;;;;;;
288;3706671;RSAC;NBA;43942453;;;;;;;;;;;;;;
289;257461;JONY;Титры;104096833;;;;;;;;;;;;;;
290;5850853;Konfuz;Кайф ты поймала;63835650;;;;;;;;;;;;;;
291;677799;Леприконсы;Хали-гали, паратрупер;29016012;;;;;;;;;;;;;;
292;383840;Colin;You;90576894;;;;;;;;;;;;;;
293;4331814\v4944372;Клава Кока, NILETTO;Краш;66869588;;;;;;;;;;;;;;
294;10170574\v12748691\v5773286;Besomage, Meric Again, RIELL;Survivor;90494592;;;;;;;;;;;;;;
295;11707891;FYDE;Sunset;87905270;;;;;;;;;;;;;;
296;8739954;DEAD BLONDE;Бесприданница;81924969;;;;;;;;;;;;;;
297;427835;Детский хор «Великан»;Ай, будет круто!;33207313;;;;;;;;;;;;;;
298;2717655;Нина Бродская;Бу-ра-ти-но!!!;6098617;;;;;;;;;;;;;;
299;5990910;Ива & Сказка;Кузнечик;44610539;;;;;;;;;;;;;;
300;168852\v168372;Сергей Шнуров, Кипелов;Свобода;64357981;;;;;;;;;;;;;;
301;8528649\v7442424;KAT-RIN, MSL16;Lambo;102697014;;;;;;;;;;;;;;
302;170642\v11845705;INNA, Romanian House Mafia;UP;94848966;;;;;;;;;;;;;;
303;161659;Klaas;One Two Step;108253749;;;;;;;;;;;;;;
304;9559322\v8462200;FINIK, ALEKS ATAMAN;Диалоги тет-а-тет;92503438;;;;;;;;;;;;;;
305;4952629;Rolipso;Bugatti Ridin';74584418;;;;;;;;;;;;;;
306;115492;Nathan Evans;Wellerman;76863237;;;;;;;;;;;;;;
307;10366384\v5734980\v8928513;Poylow, Britt Lari, CPX;Blinding Lights;82545642;;;;;;;;;;;;;;
308;4331814;Клава Кока;Покинула чат;62244864;;;;;;;;;;;;;;
309;9040292\v9540833;Soda, Voyage;Say It;74159423;;;;;;;;;;;;;;
310;5583666;Robert Cristian;Whoopty;77509228;;;;;;;;;;;;;;
